n,strassen,naive
1,0,0
2,0,0
3,0.01,0
4,0,0
5,0,0
6,0,0
7,0.01,0
8,0.01,0
9,0.02,0
10,0.01,0.01
11,0.02,0.01
12,0,0.02
13,0.02,0.01
14,0.03,0
15,0.05,0.01
16,0.01,0.02
17,0.04,0.03
18,0.03,0.04
19,0.06,0.03
20,0.04,0.05
21,0.08,0.05
22,0.06,0.04
23,0.09,0.08
24,0.12,0.04
25,0.14,0.08
26,0.13,0.13
27,0.09,0.13
28,0.09,0.12
29,0.13,0.17
30,0.25,0.07
31,0.21,0.15
32,0.15,0.17
33,0.26,0.17
34,0.26,0.21
35,0.22,0.24
36,0.22,0.27
37,0.32,0.27
38,0.37,0.45
39,0.3,0.36
40,0.36,0.32
41,0.39,0.3
42,0.37,0.36
43,0.42,0.42
44,0.42,0.43
45,0.67,0.47
46,0.54,0.52
47,0.52,0.55
48,0.61,0.57
49,1.23,1.07
50,1.09,0.84
51,0.88,0.9
52,1.09,1.02
53,1.59,1.31
54,1.59,1.45
55,1.38,1.44
56,1.23,1.29
57,1.62,1.35
58,1.77,1.42
59,1.73,1.64
60,1.7,1.64
61,1.83,1.6
62,2.3,1.86
63,2.04,2.14
64,1.96,2.01
65,2.51,2.36
66,2.35,2.23
67,2.87,3.03
68,2.34,2.52
69,2.72,2.6
70,2.91,2.54
71,2.94,2.79
72,2.82,2.71
73,3.37,3.05
74,3.25,2.97
75,3.22,3.51
76,3.32,3.34
77,3.87,3.79
78,3.94,3.71
79,3.75,4.14
80,3.8,4.1
81,4.63,4.74
82,4.87,4.81
83,5.08,5.31
84,4.84,5.14
85,5.43,5.51
86,5.65,5.63
87,5.31,5.7
88,5.55,5.92
89,6,5.82
90,6.14,5.89
91,6.2,6.8
92,6.26,6.51
93,7.29,7.05
94,7.09,7.17
95,7.02,7.53
96,7.47,7.94
97,9.02,9.08
98,7.99,7.97
99,7.92,8.47
100,8.1,8.57
101,8.96,9.3
102,9.13,9.18
103,8.94,9.49
104,8.92,9.62
105,9.97,10.31
106,10.05,10.37
107,10.23,11.17
108,10.3,11.12
109,11.48,11.58
110,11.44,11.55
111,11.44,12.31
112,11.3,12.28
113,12.89,13.13
114,12.59,13.09
115,12.82,14.01
116,12.76,13.82
117,14.02,14.48
118,13.97,14.63
119,14.17,15.3
120,13.92,14.89
121,15.42,15.9
122,15.37,16
123,15.42,16.82
124,15.44,16.54
125,16.82,17.57
126,16.85,17.66
127,16.63,18.18
128,16.74,18.13
129,18.47,19.65
130,18.46,19.58
131,18.85,20.54
132,18.8,20.64
133,20.05,20.95
134,20.29,21.28
135,20.19,22.28
136,20.23,22.39
137,22.41,23.5
138,22.07,23.58
139,22.13,25
140,22.21,24.95
141,24.3,25.56
142,24.48,25.92
143,24.11,26.1
144,24.18,26.38
145,26.2,27.74
146,26.16,27.76
147,26.41,29.57
148,26.75,29.68
149,28.82,32.04
150,28.81,31.28
151,29.83,33.56
152,33.07,35.52
153,30.43,31.85
154,30.35,32.52
155,30.64,34.15
156,29.67,32.57
157,32.41,34.31
158,31.88,33.55
159,32.87,36.1
160,33.03,36.72
161,34.46,36.53
162,34.37,36.58
163,34.44,37.98
164,34.58,37.66
165,36.97,39.39
166,37.3,39.32
167,36.73,40.37
168,36.83,40.35
169,39.5,42.32
170,40.06,42.41
171,39.66,43.56
172,39.47,43.38
173,43,45.42
174,42.26,45.01
175,42.66,46.54
176,42.76,46.83
177,45.95,50
178,45.76,49.63
179,45.61,50.22
180,45.47,50.24
181,48.54,51.99
182,48.45,51.79
183,48.59,53.69
184,48.28,53.08
185,52,55.32
186,51.99,55.56
187,51.83,57.04
188,52.8,57.75
189,54.99,59.03
190,59.49,67.35
191,60.74,67.99
192,55.13,61.13
193,59.55,63.96
194,58.91,63.45
195,58.78,64.9
196,58.93,64.59
197,62.74,67.61
198,62.74,68.06
199,66.81,74.83
200,62.39,69.6
